id,"prefecture","created_at","updated_at"
84,"岡山県","2019-05-30 16:33:47","2019-05-30 16:33:47"
85,"広島県","2019-05-30 16:33:47","2019-05-30 16:33:47"
86,"山口県","2019-05-30 16:33:47","2019-05-30 16:33:47"
87,"徳島県","2019-05-30 16:33:47","2019-05-30 16:33:47"
88,"香川県","2019-05-30 16:33:47","2019-05-30 16:33:47"
89,"愛媛県","2019-05-30 16:33:47","2019-05-30 16:33:47"
90,"高知県","2019-05-30 16:33:47","2019-05-30 16:33:47"
91,"福岡県","2019-05-30 16:33:47","2019-05-30 16:33:47"
92,"佐賀県","2019-05-30 16:33:47","2019-05-30 16:33:47"
93,"長崎県","2019-05-30 16:33:47","2019-05-30 16:33:47"
94,"熊本県","2019-05-30 16:33:47","2019-05-30 16:33:47"
95,"大分県","2019-05-30 16:33:47","2019-05-30 16:33:47"
96,"宮崎県","2019-05-30 16:33:47","2019-05-30 16:33:47"
97,"鹿児島県","2019-05-30 16:33:47","2019-05-30 16:33:47"
98,"沖縄県","2019-05-30 16:33:47","2019-05-30 16:33:47"
99,"北海道","2019-05-30 16:34:15","2019-05-30 16:34:15"
100,"青森県","2019-05-30 16:34:15","2019-05-30 16:34:15"
101,"岩手県","2019-05-30 16:34:15","2019-05-30 16:34:15"
102,"宮城県","2019-05-30 16:34:15","2019-05-30 16:34:15"
103,"秋田県","2019-05-30 16:34:15","2019-05-30 16:34:15"
104,"山形県","2019-05-30 16:34:15","2019-05-30 16:34:15"
105,"福島県","2019-05-30 16:34:15","2019-05-30 16:34:15"
106,"茨城県","2019-05-30 16:34:15","2019-05-30 16:34:15"
107,"栃木県","2019-05-30 16:34:15","2019-05-30 16:34:15"
108,"群馬県","2019-05-30 16:34:15","2019-05-30 16:34:15"
109,"埼玉県","2019-05-30 16:34:15","2019-05-30 16:34:15"
110,"千葉県","2019-05-30 16:34:15","2019-05-30 16:34:15"
111,"東京都","2019-05-30 16:34:15","2019-05-30 16:34:15"
112,"神奈川県","2019-05-30 16:34:15","2019-05-30 16:34:15"
113,"新潟県","2019-05-30 16:34:15","2019-05-30 16:34:15"
114,"富山県","2019-05-30 16:34:15","2019-05-30 16:34:15"
115,"石川県","2019-05-30 16:34:15","2019-05-30 16:34:15"
116,"福井県","2019-05-30 16:34:15","2019-05-30 16:34:15"
117,"山梨県","2019-05-30 16:34:15","2019-05-30 16:34:15"
118,"長野県","2019-05-30 16:34:15","2019-05-30 16:34:15"
119,"岐阜県","2019-05-30 16:34:15","2019-05-30 16:34:15"
120,"静岡県","2019-05-30 16:34:15","2019-05-30 16:34:15"
121,"愛知県","2019-05-30 16:34:15","2019-05-30 16:34:15"
122,"三重県","2019-05-30 16:34:15","2019-05-30 16:34:15"
123,"滋賀県","2019-05-30 16:34:15","2019-05-30 16:34:15"
124,"京都府","2019-05-30 16:34:15","2019-05-30 16:34:15"
125,"大阪府","2019-05-30 16:34:15","2019-05-30 16:34:15"
126,"兵庫県","2019-05-30 16:34:15","2019-05-30 16:34:15"
127,"奈良県","2019-05-30 16:34:15","2019-05-30 16:34:15"
128,"和歌山県","2019-05-30 16:34:15","2019-05-30 16:34:15"
129,"鳥取県","2019-05-30 16:34:15","2019-05-30 16:34:15"
