id,"date","created_at","updated_at"
1,"1〜2日で発送","2019-05-30 16:30:40","2019-05-30 16:30:40"
2,"2〜3日で発送","2019-05-30 16:30:40","2019-05-30 16:30:40"
3,"4〜7日で発送","2019-05-30 16:30:40","2019-05-30 16:30:40"
