id,size_category_id,"size","created_at","updated_at"
1,NULL,"SS","0000-00-00 00:00:00","0000-00-00 00:00:00"
2,NULL,"S","0000-00-00 00:00:00","0000-00-00 00:00:00"
3,NULL,"M","0000-00-00 00:00:00","0000-00-00 00:00:00"
4,NULL,"L","0000-00-00 00:00:00","0000-00-00 00:00:00"
5,NULL,"LL","0000-00-00 00:00:00","0000-00-00 00:00:00"
6,NULL,"-","0000-00-00 00:00:00","0000-00-00 00:00:00"
