id,"brand",first_category_id,"created_at","updated_at"
1,"NIKE",NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
2,"adidas",NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
3,"PUMA",NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
4,"Reebok",NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
5,"CONVERSE",NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
6,"無印良品",NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
7,"ユニクロ",NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
8,"その他",NULL,"0000-00-00 00:00:00","0000-00-00 00:00:00"
