id,"condition","created_at","updated_at"
1,"新品・未使用","0000-00-00 00:00:00","0000-00-00 00:00:00"
2,"未使用に近い","0000-00-00 00:00:00","0000-00-00 00:00:00"
3,"目立った傷や汚れなし","0000-00-00 00:00:00","0000-00-00 00:00:00"
4,"やや傷や汚れあり","0000-00-00 00:00:00","0000-00-00 00:00:00"
5,"傷やよごれあり","0000-00-00 00:00:00","0000-00-00 00:00:00"
6,"全体に状態が悪い","0000-00-00 00:00:00","0000-00-00 00:00:00"
